seed,method,model,batch_size,datasets,client_num,hidden,dropout,local_updates,lr,weight_decay,test_acc,val_loss,group
1,fedgsl,gnn_fedgsl_gcn,1,pubmed,3,64,0,1,0.1,0.0005,0.805787534,2815.070233,42
1,fedgsl,gnn_fedgsl_gcn,1,pubmed,3,64,0,1,0.25,0.0005,0.805763581,9091.438063,43
1,fedgsl,gnn_fedgsl_gcn,1,pubmed,3,64,0,1,0.25,0.0005,0.804038045,3160.280428,43
1,fedgsl,gnn_fedgsl_gcn,1,pubmed,3,64,0.5,1,0.25,0.0005,0.802856991,8696.640766,43
0,fedgsl,gnn_fedgsl_gcn,1,pubmed,3,64,0.5,1,0.25,0.0005,0.802417463,8649.805348,43
1,fedgsl,gnn_fedgsl_gcn,1,pubmed,3,256,0.5,1,0.25,0,0.801116145,2927.907159,43
1,fedgsl,gnn_fedgsl_gcn,1,pubmed,3,256,0,1,0.1,0.0005,0.798808271,1201.707887,44
0,fedgsl,gnn_fedgsl_gcn,1,pubmed,3,64,0.5,1,0.25,0.0005,0.795033808,5775.635488,44
0,fedgsl,gnn_fedgsl_gcn,1,pubmed,3,64,0.5,1,0.25,0.0005,0.794925161,2104.53767,44
0,fedgsl,gnn_fedgsl_gcn,1,pubmed,3,64,0.5,1,0.25,0.0005,0.793057227,15129.90397,44
0,fedgsl,gnn_fedgsl_gcn,1,pubmed,3,256,0,1,0.1,0.0005,0.792178658,1139.365455,44
0,fedgsl,gnn_fedgsl_gcn,1,pubmed,3,256,0.5,1,0.25,0.0005,0.791225435,6911.351466,45
0,fedgsl,gnn_fedgsl_gcn,1,pubmed,3,256,0,1,0.1,0,0.789664356,2004.934286,45
1,fedgsl,gnn_fedgsl_gcn,1,pubmed,3,256,0.5,1,0.25,0,0.789371086,88448.71973,45
1,fedgsl,gnn_fedgsl_gcn,1,pubmed,3,64,0.5,1,0.25,0,0.789168605,19498.42912,45
0,fedgsl,gnn_fedgsl_gcn,1,pubmed,3,64,0,1,0.1,0,0.788952211,739.6806069,45
1,fedgsl,gnn_fedgsl_gcn,1,pubmed,3,256,0,1,0.1,0.0005,0.788182701,1189.633254,46
0,fedgsl,gnn_fedgsl_gcn,1,pubmed,3,256,0.5,1,0.25,0.0005,0.788107307,4367.263464,46
